"id","name","description","type","parent_id:id","cest"
"ncm_38249100","3824.91.00","-- Misturas e preparações constituídas principalmente por metilfosfonato de (5-etil-2-metil-2-óxido-1,3,2-dioxafosfinan-5-il)metil metila e metilfosfonato de bis[(5-etil-2-metil-2-óxido-1,3,2-dioxafosfinan-5- il)metila]","normal",,
"ncm_382499","3824.99","-- Outros","view",,
"ncm_3824991","3824.99.1","Produtos intermediários da fabricação de antibióticos ou de vitaminas ou de outros produtos da posição 29.36","view",,
"ncm_38249911","3824.99.11","Salinomicina micelial","normal",,
"ncm_38249912","3824.99.12","Com um teor de cianocobalamina inferior ou igual a 55 %, em peso","normal",,
"ncm_38249913","3824.99.13","Da fabricação da primicina amônica","normal",,
"ncm_38249914","3824.99.14","Senduramicina sódica, da fabricação da senduramicina","normal",,
"ncm_38249915","3824.99.15","Maduramicina amônica, em solução alcoólica, da fabricação da maduramicina","normal",,
"ncm_38249919","3824.99.19","Outros","normal",,
"ncm_3824992","3824.99.2","Derivados de ácidos graxos industriais; misturas e preparações contendo álcoois graxos ou ácidos carboxílicos ou derivados destes produtos","view",,
"ncm_38249921","3824.99.21","Ácidos graxos dimerizados; preparações contendo ácidos graxos dimerizados","normal",,
"ncm_38249922","3824.99.22","Preparações contendo estearoilbenzoilmetano e palmitoilbenzoilmetano; preparações contendo caprilato e caprato de propilenoglicol","normal",,
"ncm_38249923","3824.99.23","Preparações contendo triglicerídios dos ácidos caprílico e cáprico","normal",,
"ncm_38249924","3824.99.24","Ésteres de álcoois graxos de C12 a C20 do ácido metacrílico e suas misturas; ésteres de ácidos monocarboxílicos de C10 ramificados com glicerol","normal",,
"ncm_38249925","3824.99.25","Misturas de ésteres dimetílicos dos ácidos adípico, glutárico e succínico; misturas de ácidos dibásicos de C11 e C12; ácidos naftênicos, seus sais insolúveis em água e seus ésteres","normal",,
"ncm_38249929","3824.99.29","Outros","normal",,
"ncm_3824993","3824.99.3","Misturas e preparações para borracha ou plástico e outras misturas e preparações para endurecer resinas sintéticas, colas, pinturas ou usos similares","view",,
"ncm_38249931","3824.99.31","Que contenham isocianatos de hexametileno ou outros isocianatos","normal",,
"ncm_38249932","3824.99.32","Que contenham aminas graxas de C8 a C22","normal",,
"ncm_38249933","3824.99.33","Que contenham polietilenoaminas e dietilenotriaminas, próprias para a coagulação do látex","normal",,
"ncm_38249934","3824.99.34","Outras, contendo polietilenoaminas","normal",,
"ncm_38249935","3824.99.35","Misturas de mono-, die triisopropanolaminas","normal",,
"ncm_38249936","3824.99.36","Reticulantes para silicones","normal",,
"ncm_38249939","3824.99.39","Outras","normal",,
"ncm_3824994","3824.99.4","Misturas e preparações desincrustantes, anticorrosivas ou antioxidantes; fluidos para a transferência de calor","view",,
"ncm_38249941","3824.99.41","Preparações desincrustantes, anticorrosivas ou antioxidantes","normal",,
"ncm_38249942","3824.99.42","Mistura eutética de difenila e óxido de difenila","normal",,
"ncm_38249943","3824.99.43","À base de trimetil-3,9-dietildecano","normal",,
"ncm_38249949","3824.99.49","Outros","normal",,
"ncm_3824995","3824.99.5","Polietilenoglicóis e suas misturas; polipropilenoglicóis e suas misturas; misturas e preparações contendo ésteres de ácidos inorgâ- nicos e seus derivados","view",,
"ncm_38249951","3824.99.51","Antiespumantes contendo fosfato de tributila em solução de álcool isopropílico","normal",,
"ncm_38249952","3824.99.52","Misturas de polietilenoglicóis","normal",,
"ncm_38249953","3824.99.53","Polipropilenoglicol líquido","normal",,
"ncm_38249954","3824.99.54","Retardante de chama contendo misturas de trifenilfosfatos isopropilados","normal",,
"ncm_38249959","3824.99.59","Outros","normal",,
"ncm_3824997","3824.99.7","Produtos e preparações à base de elementos químicos ou de seus compostos inorgânicos, não especificados nem compreendidos noutras posições","view",,
"ncm_38249971","3824.99.71","Cal sodada; carbonato de cálcio hidrófugo","normal",,
"ncm_38249972","3824.99.72","Preparações à base de sílica em suspensão coloidal; nitreto de boro de estrutura cristalina cúbica, compactado com substrato de carbeto de tungstênio (volfrâmio)","normal",,
"ncm_38249973","3824.99.73","Preparações à base de carbeto de tungstênio (volfrâmio) com níquel como aglomerante; brometo de hidrogênio em solução","normal",,
"ncm_38249974","3824.99.74","Preparações à base de hidróxido de níquel ou de cádmio, de óxido de cádmio ou de óxido ferroso férrico, próprios para a fabricação de acumuladores alcalinos","normal",,
"ncm_38249975","3824.99.75","Preparações utilizadas na elaboração de meios de cultura; trocadores de íons para o tratamento de águas; preparações à base de zeólitas artificiais","normal",,
"ncm_38249976","3824.99.76","Compostos absorventes à base de metais para aperfeiçoar o vácuo nos tubos ou válvulas elétricas","normal",,
"ncm_38249977","3824.99.77","Adubos (fertilizantes) foliares contendo zinco ou manganês","normal",,
"ncm_38249978","3824.99.78","Preparações à base de óxido de alumínio e óxido de zircônio, com um conteúdo de óxido de zircônio igual ou superior a 20 %, em peso","normal",,
"ncm_38249979","3824.99.79","Outros","normal",,
"ncm_38249979_01","3824.99.79:01","Micronutrientes","extension","ncm_38249979",
"ncm_3824998","3824.99.8","Produtos e preparações à base de compostos orgânicos, não especificados nem compreendidos noutras posições","view",,
"ncm_38249981","3824.99.81","Preparações à base de anidrido poliisobutenilsuccínico, em óleo mineral","normal",,
"ncm_38249982","3824.99.82","Halquinol; tetraclorohidroxiglicina de alumínio e zircônio","normal",,
"ncm_38249983","3824.99.83","Triisocianato de tiofosfato de fenila ou de trifenilmetano, em solução de cloreto de metileno ou de acetato de etila; preparações à base de tetraacetiletilenodiamina (TAED), em grânulos","normal",,
"ncm_38249985","3824.99.85","Metilato de sódio em metanol","normal",,
"ncm_38249986","3824.99.86","Maneb; mancozeb; cloreto de benzalcônio","normal",,
"ncm_38249987","3824.99.87","Dispersão aquosa de microcápsulas de poliuretano ou de melamina-formaldeído contendo um precursor de corante em solventes orgânicos","normal",,
"ncm_38249988","3824.99.88","Misturas constituídas principalmente pelos compostos seguintes: alquilfosfonofluoridatos de O-alquila (de até C10, incluindo os cicloalquilas), N,N-dialquilfosforoamidocianidatos de O-alquila (de até C10, incluindo os cicloalquilas), hidrogênio alquilfosfonotioatos de [S-2-(dialquilamino)etila], seus ésteres de O-alquila (de até C10, incluindo os cicloalquilas) ou seus sais alquilados ou protonados, difluoretos de alquilfosfonila, hidrogênio alquilfosfonitos de [O-2-(dialquilamino)etila], seus ésteres de O-alquila (de até C10, incluindo os cicloalquilas) ou seus sais alquilados ou protonados, dialogenetos de N,N-dialquilfosforoamídicos, N,ndialquilfosforoamidatos de dialquila, N,N-dialquil-2-cloroetilaminas ou seus sais protonados, N,N-dialquil-2-aminoetanóis ou seus sais protonados, N,N-dialquilaminoetano-2-tióis ou seus sais protonados ou por compostos que contenham um átomo de fósforo unido a um grupo alquila, sem outros átomos de carbono, (grupos alquila de C1 a C3, exceto nos casos expressamente indicados)","normal",,
"ncm_38249989","3824.99.89","Outros","normal",,
"ncm_28531000","2853.10.00","- Cloreto de cianogênio (clorociano)","normal",,
"ncm_285390","2853.90","- Outros","view",,
"ncm_2853901","2853.90.1","Fosfetos, de constituição química definida ou não","view",,
"ncm_28539011","2853.90.11","De alumínio","normal",,
"ncm_28539012","2853.90.12","De magnésio","normal",,
"ncm_28539013","2853.90.13","De cobre (fosfetos de cobre), contendo mais de 15 %, em peso, de fósforo","normal",,
"ncm_28539019","2853.90.19","Outros","normal",,
"ncm_28539020","2853.90.20","Cianamida e seus derivados metálicos","normal",,
"ncm_28539030","2853.90.30","Sulfocloretos de fósforo","normal",,
"ncm_28539090","2853.90.90","Outros","normal",,
"ncm_030249","0302.49","-- Outros","view","ncm_03024",
"ncm_03024910","0302.49.10","Espadins, marlins, veleiros (Istiophoridae)","normal","ncm_030249",
"ncm_03024990","0302.49.90","Outros","normal","ncm_030249",
"ncm_44219","4421.9","Outras","view",,
"ncm_44219100","4421.91.00","de bambu","normal",,
